Category	Term			Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_ALL	GO:0035239	4.793747286	tube morphogenesis	6	9.677419355	0.006580187	"Q69Z28, Q4TVV3, P92208, Q24292, Q9JIH2, A3KPQ7"	49	47	1840	4.793747286	0.999957019	0.999957019	10.4072146
GOTERM_BP_ALL	GO:0035295	3.923240938	tube development	7	11.29032258	0.006832862	"Q69Z28, Q4TVV3, Q21735, P92208, Q24292, Q9JIH2, A3KPQ7"	49	67	1840	3.923240938	0.999970824	0.994598522	10.78578651
GOTERM_BP_ALL	GO:0055123	9.387755102	digestive system development	4	6.451612903	0.007351605	"Q4TVV3, Q21735, P92208, Q32LQ4"	49	16	1840	9.387755102	0.999986834	0.976386837	11.55828596
GOTERM_BP_ALL	GO:0060562	4.172335601	epithelial tube morphogenesis	5	8.064516129	0.027728067	"Q69Z28, P92208, Q24292, Q9JIH2, A3KPQ7"	49	45	1840	4.172335601	1	0.999977603	37.37964235
GOTERM_BP_ALL	GO:0052548	5.777080063	regulation of endopeptidase activity	4	6.451612903	0.028437141	"Q9NR09, Q5F3J5, P17560, Q8BHG1"	49	26	1840	5.777080063	1	0.999847371	38.13552135
GOTERM_BP_ALL	GO:0098542	5.179451091	defense response to other organism	4	6.451612903	0.037848594	"Q53G44, Q8R5F7, P09889, P92208"	49	29	1840	5.179451091	1	0.999944202	47.38968866
GOTERM_BP_ALL	GO:0052547	5.179451091	regulation of peptidase activity	4	6.451612903	0.037848594	"Q9NR09, Q5F3J5, P17560, Q8BHG1"	49	29	1840	5.179451091	1	0.999944202	47.38968866
GOTERM_BP_ALL	GO:0048565	8.665620094	digestive tract development	3	4.838709677	0.043287556	"Q4TVV3, Q21735, P92208"	49	13	1840	8.665620094	1	0.999934145	52.12722296
GOTERM_BP_ALL	GO:0050867	8.665620094	positive regulation of cell activation	3	4.838709677	0.043287556	"Q4TVV3, P98109, Q9BDK2"	49	13	1840	8.665620094	1	0.999934145	52.12722296
GOTERM_BP_ALL	GO:0006952	2.781557067	defense response	6	9.677419355	0.056685197	"Q53G44, Q8R5F7, P98109, P09889, P92208, Q9BDK2"	49	81	1840	2.781557067	1	0.999985029	62.14388989
GOTERM_BP_ALL	GO:0050789	1.258693422	regulation of biological process	30	48.38709677	0.065627695	"Q9NR09, Q90474, P17560, Q24292, Q92072, Q9BDK2, Q5ZMM5, Q5ZM73, Q5F3J5, P09889, Q2T9W6, Q9NQZ5, A3KPQ7, Q69Z28, Q01105, P98109, P12276, Q9Y6R4, Q9BTY2, Q8WWB3, A6H782, Q8R5F7, Q0IIF6, Q4TVV3, B4KCD5, Q32PI1, P92208, Q95108, Q8BHG1, Q9BV94"	49	895	1840	1.258693422	1	0.999989736	67.6944728
GOTERM_BP_ALL	GO:0065007	1.232443747	biological regulation	32	51.61290323	0.068020079	"Q9NR09, Q90474, P17560, Q24292, Q92072, Q9BDK2, Q5ZMM5, Q5ZM73, Q5F3J5, P09889, Q2T9W6, Q9NQZ5, A3KPQ7, Q69Z28, Q01105, P98109, P12276, Q9Y6R4, Q9BTY2, Q8WWB3, Q91ZA3, A6H782, Q8R5F7, Q0IIF6, Q4TVV3, B4KCD5, P24367, Q32PI1, P92208, Q95108, Q8BHG1, Q9BV94"	49	975	1840	1.232443747	1	0.999978091	69.0441161
GOTERM_BP_ALL	GO:0043207	3.129251701	response to external biotic stimulus	5	8.064516129	0.068346303	"Q53G44, Q8R5F7, P09889, P92208, Q9BTY2"	49	60	1840	3.129251701	1	0.999944646	69.2239915
GOTERM_BP_ALL	GO:0051707	3.129251701	response to other organism	5	8.064516129	0.068346303	"Q53G44, Q8R5F7, P09889, P92208, Q9BTY2"	49	60	1840	3.129251701	1	0.999944646	69.2239915
GOTERM_BP_ALL	GO:0009607	3.028308097	response to biotic stimulus	5	8.064516129	0.075302469	"Q53G44, Q8R5F7, P09889, P92208, Q9BTY2"	49	62	1840	3.028308097	1	0.999951606	72.83355291
GOTERM_BP_ALL	GO:0002009	2.980239715	morphogenesis of an epithelium	5	8.064516129	0.078912198	"Q69Z28, P92208, Q24292, Q9JIH2, A3KPQ7"	49	63	1840	2.980239715	1	0.999934275	74.54594834
GOTERM_BP_ALL	GO:0009605	1.909373919	response to external stimulus	9	14.51612903	0.083171396	"Q53G44, Q8R5F7, P98109, P12276, P09889, P92208, Q9BTY2, Q16831, Q9BDK2"	49	177	1840	1.909373919	1	0.999921025	76.43590884
GOTERM_BP_ALL	GO:0050900	5.632653061	leukocyte migration	3	4.838709677	0.094007401	"P98109, Q90474, Q9BDK2"	49	20	1840	5.632653061	1	0.999955667	80.66699868
