Protein,Log2FC,E-value,Annotation,,
CHOYP_CCDC146.1.1|m.11347,-6.806172436,0,Coiled-coil domain-containing protein 146 ,,
CHOYP_AAEL_AAEL005639.1.1|m.10386,-4.821024605,0,ER degradation-enhancing alpha-mannosidase-like protein 2 ,,
CHOYP_PCCB.2.2|m.62988,-4.437315765,0,"Propionyl-CoA carboxylase beta chain, mitochondrial ",,
CHOYP_BRAFLDRAFT_120058.1.1|m.9895,-4.358861781,8.57E-20,DPY30 domain-containing protein 1 ,,
CHOYP_LRRF2.2.2|m.40846,-4.007273325,3.63E-81,Leucine-rich repeat flightless-interacting protein 2 ,,
CHOYP_BRAFLDRAFT_126379.1.3|m.5102,-3.733143891,1.09E-17,Tctex1 domain-containing protein 1-B (Fragment),,
CHOYP_BRAFLDRAFT_265162.1.3|m.58969,-3.46636808,3.11E-62,tRNA 2'-phosphotransferase 1 ,,
CHOYP_LOC100377780.8.11|m.53259,-3.345072557,9.13E-41,Interferon-induced protein 44-like ,,
CHOYP_LOC100890099.1.1|m.11505,-3.229528594,2.99E-166,"Actin, cytoplasmic 3 ",,
CHOYP_LOC100748625.1.1|m.24479,-3.219578959,1.35E-37,Nuclear pore complex protein Nup50 ,,
CHOYP_LOC101174856.1.1|m.47585,-3.189822283,0,Mitogen-activated protein kinase kinase kinase 4 ,,
CHOYP_LOC100372915.3.7|m.25794,-3.075083664,2.02E-102,Patched domain-containing protein 3 ,,
CHOYP_ANR31.1.1|m.61075,-3.073672627,3.11E-13,Putative ankyrin repeat domain-containing protein 31 ,,
CHOYP_ATS6.3.3|m.56109,-3.037116515,1.07E-43,A disintegrin and metalloproteinase with thrombospondin motifs 16 ,,
CHOYP_LOC101160066.1.1|m.65775,-3.030505014,3.18E-123,ADP-dependent glucokinase ,,
CHOYP_FASN.3.4|m.60278,-2.94709531,0,Fatty acid synthase ,,
CHOYP_ISCW_ISCW021350.1.1|m.10332,-2.920902436,7.71E-92,Protein SET ,,
CHOYP_IFIH1.10.14|m.60393,-2.911791883,1.89E-54,Interferon-induced helicase C domain-containing protein 1 ,,
CHOYP_FUCO2.1.1|m.64139,-2.594844789,7.90E-178,Plasma alpha-L-fucosidase ,,
CHOYP_BRAFLDRAFT_81509.1.1|m.31565,-2.576433056,1.81E-42,Allograft inflammatory factor 1 ,,
CHOYP_BRAFLDRAFT_87662.1.1|m.5474,-2.575639821,2.57E-151,N-acylglucosamine 2-epimerase ,,
