protein	V2	V3	uniprot_acc	V5	V6	V7	GO_ID	GOslim	V4
CHOYP_CCDC146.1.1	23C-29C	-6.80617243580348	Q8IYE0	CC146_HUMAN	sp	Q8IYE0	GO:0005814	cytoskeleton	C
CHOYP_LOC100748625.1.1	23C-29C	-3.2195789591241	Q9JIH2	NUP50_MOUSE	sp	Q9JIH2	GO:0001841	developmental processes	P
CHOYP_LOC100748625.1.1	23C-29C	-3.2195789591241	Q9JIH2	NUP50_MOUSE	sp	Q9JIH2	GO:0005643	nucleus	C
CHOYP_LOC100748625.1.1	23C-29C	-3.2195789591241	Q9JIH2	NUP50_MOUSE	sp	Q9JIH2	GO:0005643	other membranes	C
CHOYP_LOC100748625.1.1	23C-29C	-3.2195789591241	Q9JIH2	NUP50_MOUSE	sp	Q9JIH2	GO:0005643	nucleus	C
CHOYP_LOC100748625.1.1	23C-29C	-3.2195789591241	Q9JIH2	NUP50_MOUSE	sp	Q9JIH2	GO:0005643	other membranes	C
CHOYP_LOC100748625.1.1	23C-29C	-3.2195789591241	Q9JIH2	NUP50_MOUSE	sp	Q9JIH2	GO:0005654	nucleus	C
CHOYP_LOC100748625.1.1	23C-29C	-3.2195789591241	Q9JIH2	NUP50_MOUSE	sp	Q9JIH2	GO:0006606	transport	P
CHOYP_LOC100748625.1.1	23C-29C	-3.2195789591241	Q9JIH2	NUP50_MOUSE	sp	Q9JIH2	GO:0008536	other molecular function	F
CHOYP_LOC100748625.1.1	23C-29C	-3.2195789591241	Q9JIH2	NUP50_MOUSE	sp	Q9JIH2	GO:0030529	other cellular component	C
CHOYP_LOC100748625.1.1	23C-29C	-3.2195789591241	Q9JIH2	NUP50_MOUSE	sp	Q9JIH2	GO:0031965	nucleus	C
CHOYP_LOC100748625.1.1	23C-29C	-3.2195789591241	Q9JIH2	NUP50_MOUSE	sp	Q9JIH2	GO:0031965	other membranes	C
CHOYP_LOC100748625.1.1	23C-29C	-3.2195789591241	Q9JIH2	NUP50_MOUSE	sp	Q9JIH2	GO:0031965	nucleus	C
CHOYP_LOC100748625.1.1	23C-29C	-3.2195789591241	Q9JIH2	NUP50_MOUSE	sp	Q9JIH2	GO:0031965	other membranes	C
CHOYP_LOC100748625.1.1	23C-29C	-3.2195789591241	Q9JIH2	NUP50_MOUSE	sp	Q9JIH2	GO:0043231	other cellular component	C
CHOYP_LOC100748625.1.1	23C-29C	-3.2195789591241	Q9JIH2	NUP50_MOUSE	sp	Q9JIH2	GO:0051028	transport	P
CHOYP_LOC101174856.1.1	23C-29C	-3.18982228328846	Q9Y6R4	M3K4_HUMAN	sp	Q9Y6R4	GO:0000186	protein metabolism	P
