CHOYP_CCDC146.1.1|m.11347	23C-29C	-6.80617243580348	Q8IYE0	CC146_HUMAN	sp|Q8IYE0|CC146_HUMAN	Coiled-coil
CHOYP_LOC100748625.1.1|m.24479	23C-29C	-3.2195789591241	Q9JIH2	NUP50_MOUSE	sp|Q9JIH2|NUP50_MOUSE	Nuclear
CHOYP_LOC101174856.1.1|m.47585	23C-29C	-3.18982228328846	Q9Y6R4	M3K4_HUMAN	sp|Q9Y6R4|M3K4_HUMAN	Mitogen-activated
CHOYP_LOC100372915.3.7|m.25794	23C-29C	-3.07508366360735	Q0EEE2	PTHD3_MOUSE	sp|Q0EEE2|PTHD3_MOUSE	Patched
CHOYP_ANR31.1.1|m.61075	23C-29C	-3.0736726268013	Q8N7Z5	ANR31_HUMAN	sp|Q8N7Z5|ANR31_HUMAN	Putative
CHOYP_ATS6.3.3|m.56109	23C-29C	-3.03711651497125	Q69Z28	ATS16_MOUSE	sp|Q69Z28|ATS16_MOUSE	A
CHOYP_LOC101160066.1.1|m.65775	23C-29C	-3.03050501411936	A2VE47	ADPGK_BOVIN	sp|A2VE47|ADPGK_BOVIN	ADP-dependent
CHOYP_FASN.3.4|m.60278	23C-29C	-2.94709531008681	P12276	FAS_CHICK	sp|P12276|FAS_CHICK	Fatty
CHOYP_ISCW_ISCW021350.1.1|m.10332	23C-29C	-2.92090243575093	Q01105	SET_HUMAN	sp|Q01105|SET_HUMAN	Protein
CHOYP_IFIH1.10.14|m.60393	23C-29C	-2.91179188330497	Q8R5F7	IFIH1_MOUSE	sp|Q8R5F7|IFIH1_MOUSE	Interferon-induced
CHOYP_FUCO2.1.1|m.64139	23C-29C	-2.59484478922744	Q9BTY2	FUCO2_HUMAN	sp|Q9BTY2|FUCO2_HUMAN	Plasma
CHOYP_AAEL_AAEL005639.1.1|m.10386	23C-29C	-4.82102460514497	Q9BV94	EDEM2_HUMAN	sp|Q9BV94|EDEM2_HUMAN	ER
CHOYP_BRAFLDRAFT_81509.1.1|m.31565	23C-29C	-2.57643305584999	Q9BDK2	AIF1_BOVIN	sp|Q9BDK2|AIF1_BOVIN	Allograft
CHOYP_BRAFLDRAFT_87662.1.1|m.5474	23C-29C	-2.57563982100564	P17560	RENBP_PIG	sp|P17560|RENBP_PIG	N-acylglucosamine
