V1.x	V2	V3	uniprot_acc	V5	V6	V7	V1.y	V2.x	V3.x	V5.x	V6.x	V7.x	V8.x	V9.x	V10.x	V11.x	V12.x	V13	V14	V15	V2.y	V3.y	V4	V5.y	V6.y	V7.y	V8.y	V9.y	V10.y	V11.y	V12.y
CHOYP_CCDC146.1.1	23C-29C	-6.80617243580348	Q8IYE0	CC146_HUMAN	sp	Q8IYE0	CHOYP_CCDC146.1.1	m.11347	sp	CC146_HUMAN	43.516	933	526	1	28	960	24	955	0	709	CC146_HUMAN	reviewed	Coiled-coil domain-containing protein 146	CCDC146 KIAA1505	Homo sapiens (Human)	955		centriole [GO:0005814]		centriole [GO:0005814]	GO:0005814
CHOYP_LOC100748625.1.1	23C-29C	-3.2195789591241	Q9JIH2	NUP50_MOUSE	sp	Q9JIH2	CHOYP_LOC100748625.1.1	m.24479	sp	NUP50_MOUSE	55.725	131	56	2	512	641	327	456	1.35e-37	149	NUP50_MOUSE	reviewed	Nuclear pore complex protein Nup50 (50 kDa nucleoporin) (Nuclear pore-associated protein 60 kDa-like) (Nucleoporin Nup50)	Nup50 Npap60	Mus musculus (Mouse)	466	mRNA transport [GO:0051028]; neural tube formation [GO:0001841]; protein import into nucleus [GO:0006606]	intracellular membrane-bounded organelle [GO:0043231]; intracellular ribonucleoprotein complex [GO:0030529]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nucleoplasm [GO:0005654]	Ran GTPase binding [GO:0008536]	intracellular membrane-bounded organelle [GO:0043231]; intracellular ribonucleoprotein complex [GO:0030529]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nucleoplasm [GO:0005654]; Ran GTPase binding [GO:0008536]; mRNA transport [GO:0051028]; neural tube formation [GO:0001841]; protein import into nucleus [GO:0006606]	GO:0001841; GO:0005643; GO:0005654; GO:0006606; GO:0008536; GO:0030529; GO:0031965; GO:0043231; GO:0051028
CHOYP_LOC100748625.1.1	23C-29C	-3.2195789591241	Q9JIH2	NUP50_MOUSE	sp	Q9JIH2	CHOYP_LOC100748625.1.1	m.24479	sp	NUP50_MOUSE	38.494	239	94	10	1	194	1	231	3e-26	115	NUP50_MOUSE	reviewed	Nuclear pore complex protein Nup50 (50 kDa nucleoporin) (Nuclear pore-associated protein 60 kDa-like) (Nucleoporin Nup50)	Nup50 Npap60	Mus musculus (Mouse)	466	mRNA transport [GO:0051028]; neural tube formation [GO:0001841]; protein import into nucleus [GO:0006606]	intracellular membrane-bounded organelle [GO:0043231]; intracellular ribonucleoprotein complex [GO:0030529]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nucleoplasm [GO:0005654]	Ran GTPase binding [GO:0008536]	intracellular membrane-bounded organelle [GO:0043231]; intracellular ribonucleoprotein complex [GO:0030529]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nucleoplasm [GO:0005654]; Ran GTPase binding [GO:0008536]; mRNA transport [GO:0051028]; neural tube formation [GO:0001841]; protein import into nucleus [GO:0006606]	GO:0001841; GO:0005643; GO:0005654; GO:0006606; GO:0008536; GO:0030529; GO:0031965; GO:0043231; GO:0051028
CHOYP_LOC101174856.1.1	23C-29C	-3.18982228328846	Q9Y6R4	M3K4_HUMAN	sp	Q9Y6R4	CHOYP_LOC101174856.1.1	m.47585	sp	M3K4_HUMAN	39.824	1479	716	35	253	1648	216	1603	0	959	M3K4_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase 4 (EC 2.7.11.25) (MAP three kinase 1) (MAPK/ERK kinase kinase 4) (MEK kinase 4) (MEKK 4)	MAP3K4 KIAA0213 MAPKKK4 MEKK4 MTK1	Homo sapiens (Human)	1608	activation of MAPKK activity [GO:0000186]; chorionic trophoblast cell differentiation [GO:0060718]; intracellular signal transduction [GO:0035556]; male germ-line sex determination [GO:0019100]; placenta development [GO:0001890]; positive regulation of JUN kinase activity [GO:0043507]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of telomerase activity [GO:0051973]; positive regulation of telomere capping [GO:1904355]; positive regulation of telomere maintenance via telomerase [GO:0032212]; regulation of apoptotic process [GO:0042981]; regulation of gene expression [GO:0010468]; regulation of mitotic cell cycle [GO:0007346]; response to UV-C [GO:0010225]	cytoplasm [GO:0005737]; perinuclear region of cytoplasm [GO:0048471]	ATP binding [GO:0005524]; MAP kinase kinase kinase activity [GO:0004709]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]; perinuclear region of cytoplasm [GO:0048471]; ATP binding [GO:0005524]; MAP kinase kinase kinase activity [GO:0004709]; metal ion binding [GO:0046872]; activation of MAPKK activity [GO:0000186]; chorionic trophoblast cell differentiation [GO:0060718]; intracellular signal transduction [GO:0035556]; male germ-line sex determination [GO:0019100]; placenta development [GO:0001890]; positive regulation of JUN kinase activity [GO:0043507]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of telomerase activity [GO:0051973]; positive regulation of telomere capping [GO:1904355]; positive regulation of telomere maintenance via telomerase [GO:0032212]; regulation of apoptotic process [GO:0042981]; regulation of gene expression [GO:0010468]; regulation of mitotic cell cycle [GO:0007346]; response to UV-C [GO:0010225]	GO:0000186; GO:0001890; GO:0004709; GO:0005524; GO:0005737; GO:0007346; GO:0010225; GO:0010468; GO:0019100; GO:0032212; GO:0035556; GO:0042981; GO:0043507; GO:0046872; GO:0048471; GO:0051973; GO:0060718; GO:1900745; GO:1904355
CHOYP_LOC100372915.3.7	23C-29C	-3.07508366360735	Q0EEE2	PTHD3_MOUSE	sp	Q0EEE2	CHOYP_BRAFLDRAFT_74381.1.1	m.17751	sp	PTHD3_MOUSE	24.182	856	573	21	28	836	80	906	1.74e-64	237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHOYP_LOC100372915.3.7	23C-29C	-3.07508366360735	Q0EEE2	PTHD3_MOUSE	sp	Q0EEE2	CHOYP_LOC100372915.1.7	m.6490	sp	PTHD3_MOUSE	27.855	858	566	19	8	835	70	904	1.89e-113	371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHOYP_LOC100372915.3.7	23C-29C	-3.07508366360735	Q0EEE2	PTHD3_MOUSE	sp	Q0EEE2	CHOYP_LOC100372915.2.7	m.22459	sp	PTHD3_MOUSE	27.370	844	578	15	16	841	77	903	1.06e-106	354	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHOYP_LOC100372915.3.7	23C-29C	-3.07508366360735	Q0EEE2	PTHD3_MOUSE	sp	Q0EEE2	CHOYP_LOC100372915.3.7	m.25794	sp	PTHD3_MOUSE	27.615	851	544	19	19	828	84	903	2.02e-102	341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHOYP_LOC100372915.3.7	23C-29C	-3.07508366360735	Q0EEE2	PTHD3_MOUSE	sp	Q0EEE2	CHOYP_LOC100372915.4.7	m.32231	sp	PTHD3_MOUSE	26.389	432	284	11	19	431	84	500	3.26e-41	160	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHOYP_LOC100372915.3.7	23C-29C	-3.07508366360735	Q0EEE2	PTHD3_MOUSE	sp	Q0EEE2	CHOYP_LOC100372915.5.7	m.50977	sp	PTHD3_MOUSE	28.873	852	546	18	9	823	77	905	1.32e-112	368	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHOYP_LOC100372915.3.7	23C-29C	-3.07508366360735	Q0EEE2	PTHD3_MOUSE	sp	Q0EEE2	CHOYP_LOC100372915.6.7	m.65765	sp	PTHD3_MOUSE	34.375	352	216	6	4	344	557	904	4.9e-60	211	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHOYP_LOC100372915.3.7	23C-29C	-3.07508366360735	Q0EEE2	PTHD3_MOUSE	sp	Q0EEE2	CHOYP_LOC100372915.7.7	m.66321	sp	PTHD3_MOUSE	27.346	863	578	15	3	836	61	903	1.18e-108	360	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHOYP_ANR31.1.1	23C-29C	-3.0736726268013	Q8N7Z5	ANR31_HUMAN	sp	Q8N7Z5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
